1,{0}'s unattended cooking burned.,{0} received an emergency call and rushed to the hospital.,3,neg,sit,34.3,15.65,This person's unattended cooking burned.,This person received an emergency call and rushed to the hospital.
2,{0} watched his neighbor’s children.,{0}’s neighbor was painting {0}’s house.,4,pos,sit,80.5,32.7,This person watched his neighbor’s children.,This person’s neighbor was painting this person’s house.
3,{0} did not finish his research paper for class.,The library closed due to flooding the night before the paper was due.,1,neg,disp,18.3,47.1,This person did not finish his research paper for class.,The library closed due to flooding the night before the paper was due.
4,{0} gave the nursing home an entire collection of movies.  ,A local video store was having a sale on movies.,2,pos,disp,92.85,68.5,This person gave the nursing home an entire collection of movies.  ,A local video store was having a sale on movies.
5,{0} was arrested for trespassing in the park.,The park closed early on Tuesday without posting any notices.,3,neg,sit,21.75,10.25,This person was arrested for trespassing in the park.,The park closed early on Tuesday without posting any notices.
6,{0} did not show up to work for three days.,{0} had jury duty.,3,neg,sit,40.2,10.75,This person did not show up to work for three days.,This person had jury duty.
7,{0} won a ribbon at his college choir competition.,Everyone who participated in the college choir competition won ribbons at the competition.,4,pos,sit,68.85,19.75,This person won a ribbon at his college choir competition.,Everyone who participated in the college choir competition won ribbons at the competition.
8,{0} read for three hours a week to an elementary school class.,{0} was obligated to complete 100 hours of community service.,4,pos,sit,84.1,22.3,This person read for three hours a week to an elementary school class.,This person was obligated to complete 100 hours of community service.
9,{0} had nothing ready when his guests arrived for the dinner party.,{0}’s wife did not tell him that they were having company.,3,neg,sit,18.95,12.2,This person had nothing ready when his guests arrived for the dinner party.,This person’s wife did not tell him that they were having company.
10,{0} seemed to be ignoring a classmate who was talking to him.,{0} was wearing earplugs while studying.,3,neg,sit,26.5,17.65,This person seemed to be ignoring a classmate who was talking to him.,This person was wearing earplugs while studying.
11,{0} ripped off an elderly customer on the cost of a computer.,An elderly customer entering {0}'s shop did not seem to know much about electronics.,1,neg,disp,6.9,88.85,This person ripped off an elderly customer on the cost of a computer.,An elderly customer entering this person's shop did not seem to know much about electronics.
12,{0} turned off his roommates alarm in the morning before his roommate woke up.,{0} found out that classes were cancelled so his roommate could sleep in.,2,pos,disp,63.15,49.95,This person turned off his roommates alarm in the morning before his roommate woke up.,This person found out that classes were cancelled so his roommate could sleep in.
